Month,County,Sales,Year,Population,Sales per capita
2014-01-01,Clear Creek,459640.0,2014,9210,49.906623235613466
2014-01-01,Denver,8482593.0,2014,662855,12.797056671519412
2014-01-01,Gilpin,197379.0,2014,5769,34.21372854914197
2014-01-01,Jefferson,853675.0,2014,558610,1.5282128855552175
2014-01-01,San Miguel,338934.0,2014,7751,43.72777706102438
2014-01-01,Summit,1274208.0,2014,29213,43.61784137199192
2014-02-01,Clear Creek,445976.0,2014,9210,48.42301845819761
2014-02-01,Denver,8349069.0,2014,662855,12.59561895135437
2014-02-01,Gilpin,113337.0,2014,5769,19.645865834633387
2014-02-01,Jefferson,880367.0,2014,558610,1.5759957752277975
2014-02-01,Pueblo,823156.0,2014,161618,5.093219814624609
2014-02-01,San Miguel,230470.0,2014,7751,29.73422784156883
2014-02-01,Summit,1063383.0,2014,29213,36.40102009379386
2014-03-01,Boulder,1396479.0,2014,313190,4.458887576231681
2014-03-01,Clear Creek,524541.0,2014,9210,56.95342019543974
2014-03-01,Denver,10746117.0,2014,662855,16.211866848707484
2014-03-01,Gilpin,131685.0,2014,5769,22.8263130525221
2014-03-01,Jefferson,1056723.0,2014,558610,1.891700828843021
2014-03-01,Pueblo,1196018.0,2014,161618,7.4002771968468855
2014-03-01,San Miguel,319620.0,2014,7751,41.23596955231583
2014-03-01,Summit,1427935.0,2014,29213,48.880121863553896
2014-04-01,Boulder,1835900.0,2014,313190,5.861936843449663
2014-04-01,Clear Creek,369117.0,2014,9210,40.07785016286645
2014-04-01,Denver,12005332.0,2014,662855,18.111550791651265
2014-04-01,Gilpin,114408.0,2014,5769,19.83151326053042
2014-04-01,Jefferson,1368618.0,2014,558610,2.450042068706253
2014-04-01,Pitkin,227021.0,2014,17623,12.882085910457924
2014-04-01,Pueblo,1132339.0,2014,161618,7.0062678662030216
2014-04-01,San Miguel,188733.0,2014,7751,24.349503289898077
2014-04-01,Summit,757131.0,2014,29213,25.917605175777908
2014-04-01,Weld,521853.0,2014,275845,1.8918341822400262
2014-05-01,Boulder,2354205.0,2014,313190,7.516858775822983
2014-05-01,Clear Creek,320076.0,2014,9210,34.753094462540716
2014-05-01,Denver,11300905.0,2014,662855,17.04883420959335
2014-05-01,Garfield,292839.0,2014,57260,5.114198393293748
2014-05-01,Gilpin,116815.0,2014,5769,20.248743283064655
2014-05-01,Jefferson,1435895.0,2014,558610,2.570478509156657
2014-05-01,Pitkin,185390.0,2014,17623,10.519775293650344
2014-05-01,Pueblo,1417017.0,2014,161618,8.767692954992636
2014-05-01,San Miguel,257276.0,2014,7751,33.192620307057155
2014-05-01,Summit,545898.0,2014,29213,18.686817512751173
2014-05-01,Weld,694205.0,2014,275845,2.5166488426471387
2014-06-01,Boulder,2593735.0,2014,313190,8.281666081292506
2014-06-01,Clear Creek,396938.0,2014,9210,43.0985884907709
2014-06-01,Denver,12245778.0,2014,662855,18.474293774656598
2014-06-01,Garfield,392391.0,2014,57260,6.852794271742927
2014-06-01,Gilpin,145630.0,2014,5769,25.243543075056337
2014-06-01,Jefferson,1445315.0,2014,558610,2.587341794812123
2014-06-01,Pitkin,322473.0,2014,17623,18.298416841627418
2014-06-01,Pueblo,1571864.0,2014,161618,9.72579786904924
2014-06-01,San Miguel,451452.0,2014,7751,58.24435556702361
2014-06-01,Summit,686139.0,2014,29213,23.48745421558895
2014-06-01,Weld,795293.0,2014,275845,2.883115517772662
2014-07-01,Boulder,3192671.0,2014,313190,10.194038762412593
2014-07-01,Clear Creek,473299.0,2014,9210,51.38968512486428
